漢字,正しい読み,意味
稚拙,ちせつ,幼稚でつたないこと。技術や文章などが未熟な様子を指す。
貪欲,どんよく,飽くことなく欲しがること。非常に強い欲求・欲望の強さを表す。
諮問,しもん,専門家や機関に意見・答申を求めること。「審議会に諮問する」などの形で使われる。
遺憾,いかん,期待通りにならず残念に思うこと。「遺憾に思う」「遺憾なく発揮する」などの形で使われる。
跋扈,ばっこ,勢力を張って思うままに振る舞うこと。「悪がはびこる」の意味で使われる。
逐次,ちくじ,順を追って次々と行うこと。「逐次処理」「逐次報告」などの形で使われる。
払拭,ふっしょく,すっかり取り除くこと。「不安を払拭する」の形でよく使われる。
精緻,せいち,細部まで細かく精密なこと。非常に細かく丁寧に作られた様子を表す。
斬新,ざんしん,発想や方法が非常に新鮮で独創的なこと。「斬新なアイデア」の形でよく使われる。
矜持,きょうじ,自分の能力・価値への誇りや自負心。「プロとしての矜持」などの形で使われる。
詭弁,きべん,見た目は正しそうだが実際は誤った論理・議論。相手をごまかすための巧みな弁論。
捏造,ねつぞう,実際にないことを事実のように作り上げること。「記事を捏造する」などの形で使われる。
歪曲,わいきょく,事実を意図的にゆがめること。「事実を歪曲して伝える」などの形で使われる。
剽窃,ひょうせつ,他人の文章・アイデアなどを盗んで自分のものとして使うこと。いわゆる「パクリ」の書き言葉。
蹂躙,じゅうりん,踏みにじること。人権や規則などを無視して踏みにじる行為。
嗚咽,おえつ,声を詰まらせながら泣くこと。悲しみや感動で泣きじゃくる様子。
逡巡,しゅんじゅん,決断できずにためらうこと。「逡巡して一歩が踏み出せない」などの形で使われる。
蹉跌,さてつ,物事がうまくいかず失敗・挫折すること。「蹉跌を経験する」などの形で使われる。
喧噪,けんそう,騒がしくやかましいこと、またその騒音。「都会の喧噪」の形でよく使われる。
忸怩,じくじ,自分の行いを恥ずかしく思う気持ち。「忸怩たる思い」の形で使われる。
辟易,へきえき,嫌になってうんざりすること。しつこさや煩わしさに手を焼く様子。
懊悩,おうのう,悩み苦しむこと。深く思い悩んで胸を痛める状態を表す。
紐帯,ちゅうたい,人と人、国と国などをつなぐ絆・きずな。「家族の紐帯」などの形で使われる。
贖罪,しょくざい,自分の犯した罪や過ちをつぐなうこと。キリスト教的文脈でも使われる語。
慄然,りつぜん,恐怖や衝撃で体が震えるほどぞっとする様子。「慄然とする光景」などの形で使われる。
葛藤,かっとう,相反する欲求や感情が心の中でぶつかり合うこと。「内なる葛藤」などの形で使われる。
刹那,せつな,非常に短い瞬間・時間。「刹那的な喜び」などの形で使われる。仏教語が語源。
所謂,いわゆる,世間一般で言われる・いわゆる、という意味。「所謂エリートというやつだ」などの形で使われる。
即ち,すなわち,言い換えれば・つまり・その場でという意味。接続詞として広く使われる。
概ね,おおむね,だいたい・おおよそという意味。「概ね良好」「概ね予定通り」などの形で使われる。
殊に,ことに,特に・とりわけという意味の副詞。「殊に優れた作品」などの形で使われる。
頗る,すこぶる,非常に・とても・極めてという意味の副詞。「頗る優秀な人材」などの形で使われる。
何卒,なにとぞ,どうか・ぜひともという意味の丁寧な依頼表現。手紙文などでよく使われる。
尤も,もっとも,確かにその通りという意味、または「ただし」という接続詞としても使われる。
若しくは,もしくは,または・あるいはという意味の接続詞。法律文書などで「または」と使い分ける。
彷徨う,さまよう,あてもなくうろうろと歩き回ること。精神的に迷い続けることも指す。
慄く,おののく,恐怖や寒さで体が震えること。強い恐れや畏れを感じる様子。
躊躇う,ためらう,決断できずに迷うこと。「躊躇なく行動する」の「躊躇」と同じ字。
嗜む,たしなむ,趣味として楽しむ・適度に親しむこと。「お茶を嗜む」「嗜み」などの形で使われる。
逞しい,たくましい,体・精神が力強くしっかりしている様子。「逞しく育つ」などの形で使われる。
窺う,うかがう,そっと見る・様子を観察すること。また機会を待つこと。「隙を窺う」などの形で使われる。
蔑む,さげすむ,相手を劣ったものとして見下すこと。軽蔑する・馬鹿にする意味。
憚る,はばかる,遠慮する・気がねすること。「人目を憚らず泣く」などの形で使われる。
艶やか,つややか,なめらかで光沢があり美しい様子。肌・髪・果物などに使われる。
暢気,のんき,細かいことを気にせず、おっとりとしている様子。「暢気者」「暢気な性格」の形で使われる。
弄ぶ,もてあそぶ,面白半分に扱うこと。人の気持ちや物を軽んじて扱う行為にも使われる。
贖う,あがなう,罪・過ちをつぐなうこと。代価を払って罪を清めるという意味。
霞む,かすむ,霞や靄のためにぼんやり見えること。目がかすむ・存在感が薄れるという意味にも使われる。
諦める,あきらめる,望みを捨てて断念すること。「諦観」と同じ「諦」の字。仏教語が語源。
恣意,しい,自分の思うままにふるまう気まま・勝手な考え。「恣意的な判断」の形でよく使われる。
稀有,けう,非常に珍しいこと・めったにないほど優れていること。「稀有な才能」などの形で使われる。
執拗,しつよう,しつこく粘り強いこと。「執拗に迫る」「執拗な追及」などの形で使われる。
蔑視,べっし,見下すこと・軽蔑して扱うこと。「女性蔑視」「弱者蔑視」などの形で使われる。
杞憂,きゆう,取り越し苦労・無用な心配のこと。古代中国の「杞」という国の人が天が落ちてくることを心配した故事から。
悠然,ゆうぜん,落ち着いてゆったりとしている様子。「悠然と構える」などの形で使われる。
慈悲,じひ,いつくしんで哀れみをかけること。仏教用語で、衆生を救う心を指す。
施策,しさく,施す政策・手立て・対策のこと。「少子化対策の施策」などの形で使われる。
漸次,ぜんじ,だんだんと・少しずつという意味。「漸次改善される」などの形で使われる。
凡例,はんれい,書物・地図などの使い方や記号を説明した部分。「凡例を参照」などの形で使われる。
頑迷,がんめい,頑固で道理がわからないこと。「頑迷固陋」という四字熟語でも使われる。
懸案,けんあん,以前から解決されずに残っている問題・課題。「懸案事項」「長年の懸案」の形で使われる。
兎も角,ともかく,それはさておき・いずれにせよという意味。「兎も角、まずやってみよう」などの形で使われる。
忌憚,きたん,遠慮すること。「忌憚のない意見」は「遠慮のない率直な意見」という意味。
危惧,きぐ,よくない結果になるのではと心配すること。「危惧する」「危惧の念を抱く」の形で使われる。
疎外,そがい,仲間外れにすること・社会や集団から切り離されること。「疎外感」などの形でよく使われる。
錯綜,さくそう,複数の物事が入り組んで混乱すること。「情報が錯綜する」などの形で使われる。
逃避,とうひ,現実や困難から逃げること。「現実逃避」「逃避行動」などの形で使われる。
桎梏,しっこく,手枷・足枷のこと。転じて、自由を束縛するものを指す。「桎梏から解放される」などの形で使われる。
蓋然,がいぜん,ある程度の確からしさ・起こりうる可能性のこと。「蓋然性が高い」の形でよく使われる。
諦観,ていかん,物事の本質を見通すこと、または迷いなく諦めの境地に達すること。
御用達,ごようたし,特定の人や機関に品物を納めること。「ごようたし」が正しく、「ごようたつ」は誤読として広まっている。
十八番,おはこ,最も得意とする芸や技のこと。歌舞伎の「十八番」に由来し、読みは「おはこ」。
一期一会,いちごいちえ,一生に一度の出会いとして大切にすること。茶道の精神から生まれた言葉。
境内,けいだい,神社・寺院の敷地内のこと。「きょうない」は誤読で「けいだい」が正しい。
大団円,だいだんえん,物語や事件などが丸く収まって終わること。「だんえん」が正しく「だんまる」は誤り。
五月雨,さみだれ,梅雨の時期に降り続く長雨のこと。「ごがつあめ」は誤読で「さみだれ」が正しい。
山車,だし,祭りで引き回す飾り車のこと。「やまくるま」「さんしゃ」は誤読で「だし」が正しい。
読経,どきょう,お経を声に出して読むこと。「よみきょう」は誤読で「どきょう」が正しい。
境遇,きょうぐう,その人が置かれている生活上の状況・環境のこと。
数珠,じゅず,仏具の一種で、小さな玉を糸で繋いだもの。「すうじゅ」は誤読で「じゅず」が正しい。
外科,げか,手術などの方法で治療する医学分野。「がいか」は誤読で「げか」が正しい。
産声,うぶごえ,赤ちゃんが生まれた直後に発する最初の泣き声。「さんごえ」は誤読。
気骨,きこつ,自分の信念を貫く強い精神力・意気地。「きほね」は誤読で「きこつ」が正しい。
手練,てだれ,技術や経験が非常に優れていること・その人物。「てれん」は別の意味もある。
出生,しゅっしょう,生まれること・生まれ。戸籍用語としては「しゅっしょう」が正式。
七夕,たなばた,7月7日の行事で織姫と彦星が年に一度会う伝説に基づく。「しちせき」は音読みで「たなばた」が一般的。
足袋,たび,和装に使う布製の履物。「そくたい」は誤読で「たび」が正しい。
白髪,しらが,色素が抜けた白い髪の毛。「しらが」が和語の読み、「はくはつ」は漢語読み。
時雨,しぐれ,晩秋から初冬にかけて降ったりやんだりする雨。「じう」は誤読で「しぐれ」が正しい。
波紋,はもん,水面に広がる同心円状の波。また、社会に広がる影響を指す。
寒気,さむけ,体が寒く感じる感覚・悪寒。「かんき」とも読むが「悪寒」の意味では「さむけ」。
日和,ひより,空模様・天気の具合のこと。「にちわ」は誤読で「ひより」が正しい。
河岸,かし,川の岸辺、または魚市場のこと。「かわぎし」は別読みだが「かし」が慣用的。
波止場,はとば,船が停泊し荷物の積み降ろしをする所。「なみとば」は誤読で「はとば」が正しい。
行方,ゆくえ,向かう先・所在・消息のこと。「こうほう」は誤読で「ゆくえ」が正しい。
若人,わこうど,若者・青年のこと。「わかびと」「じゃくじん」は誤読で「わこうど」が正しい。
居士,こじ,在家のまま仏道に帰依した男性の称。また男性の戒名の下に付ける語。
一昨日,おととい,今日の2日前のこと。漢字の音読みで「いちさくじつ」と読みがちだが「おととい」が正しい。
明後日,あさって,今日の2日後のこと。「みょうごにち」は音読みで「あさって」が正しい。
昨今,さっこん,近ごろ・最近のこと。「きのうこん」は誤読で「さっこん」が正しい。
草鞋,わらじ,わらで編んだ履物。「そうかい」「くさあし」は誤読で「わらじ」が正しい。
飛沫,しぶき,液体が細かく飛び散ったもの。「ひまつ」は感染症関連で使われるが「しぶき」が本来の読み。
木綿,もめん,綿花から作られる繊維・布地。「もくめん」は誤読で「もめん」が正しい。
上手,じょうず,技術がすぐれていること。舞台用語では「かみて」と読む場合もある多読み語。
下手,へた,技術が劣っていること。舞台用語では「しもて」、謙遜語では「したて」とも読む。
紅葉,もみじ,秋に木の葉が赤や黄色に変わること。「こうよう」も正しいが木の種類としては「もみじ」。
土産,みやげ,旅先などから持ち帰る贈り物。「どさん」は誤読で「みやげ」が正しい。
師走,しわす,旧暦12月・現代では12月の別名。僧侶が東西に走り回るほど忙しい月という説がある。
睦月,むつき,旧暦1月の別名。人々が打ち解け「むつびあう」月という意味。
弥生,やよい,旧暦3月の別名。草木がいよいよ生い茂る月という意味。
神無月,かんなづき,旧暦10月の別名。出雲大社に全国の神が集まるため各地に神がいなくなる月。
小豆,あずき,赤い小粒の豆。和菓子の餡に使われる。「しょうず」「こまめ」は誤読。
海苔,のり,食用の藻類を干したもの。「かいたい」は誤読で「のり」が正しい。
玄人,くろうと,その道のプロ・専門家のこと。「げんじん」は誤読で「くろうと」が正しい。
素人,しろうと,その道の専門でない人・未経験者。「そじん」は誤読で「しろうと」が正しい。
仲人,なこうど,結婚の仲介をする人。「ちゅうじん」は誤読で「なこうど」が正しい。
心地,ここち,気持ち・気分・感じのこと。「しんじ」は誤読で「ここち」が正しい。
名残,なごり,別れの名残・物事が終わった後に残る余韻。「みょうさん」は誤読。
田舎,いなか,都市から離れた自然豊かな地方。「でんしゃ」は誤読で「いなか」が正しい。
行脚,あんぎゃ,各地を歩き回ること。もとは修行僧が諸国を巡ること。「いきあし」は誤読。
果物,くだもの,食用の甘い実・フルーツ。「かぶつ」は誤読で「くだもの」が正しい。
木霊,こだま,山や森で声や音が反響する現象。木に宿る精霊の意味もある。
早乙女,さおとめ,田植えをする若い女性のこと。また女性の名前にも使われる。
乙女,おとめ,年若い女性・少女のこと。「おつじょ」は誤読で「おとめ」が正しい。
吹雪,ふぶき,激しい風に雪が吹き飛ばされる現象。「すいせつ」は誤読で「ふぶき」が正しい。
竹刀,しない,剣道の稽古に使う竹製の剣。「ちくとう」は誤読で「しない」が正しい。
雪崩,なだれ,山の斜面に積もった雪が崩れ落ちる現象。「ゆきくずれ」は誤読で「なだれ」が正しい。
黄昏,たそがれ,夕暮れ時・薄暗くなる時刻。転じて物事の衰退期を指す。「こうこん」は誤読。
凸凹,でこぼこ,表面が平らでなく出っ張りやへこみがある様子。「とつおう」は音読み。
雑魚,ざこ,小さな魚・価値の低い小物のこと。「ざつぎょ」は誤読で「ざこ」が正しい。
足跡,あしあと,人や動物が歩いた跡。業績の意味では「そくせき」とも読む。
水母,くらげ,海中に漂う傘状の生き物。「すいぼ」は誤読で「くらげ」が正しい。
海豚,いるか,水生哺乳類の一種。「かいとん」は誤読で「いるか」が正しい。
河豚,ふぐ,毒を持つ海水魚の一種。「かわぶた」は誤読で「ふぐ」が正しい。
海老,えび,甲殻類の一種。「かいろう」は誤読で「えび」が正しい。
蝸牛,かたつむり,陸生の巻き貝の一種。「かぎゅう」は音読みで「かたつむり」が訓読み。
蜻蛉,とんぼ,昆虫の一種。また「かげろう」とも読む。「せいれい」は誤読。
百舌,もず,小型の猛禽類の鳥。さまざまな鳥の声を真似ることから「百の舌」。
鶯,うぐいす,春に「ホーホケキョ」と鳴く鳥。「おう」は誤読で「うぐいす」が正しい。
鰐,わに,熱帯の大型爬虫類。「がく」は音読みで「わに」が正しい。
鯉,こい,淡水魚の一種。観賞用や食用に飼われる。「りこ」は誤読で「こい」が正しい。
蛍,ほたる,夜に発光する昆虫。「けい」は音読みで「ほたる」が正しい。
蝶,ちょう,鱗翅目の昆虫。古語では「てふ」と書いた。
蜂,はち,毒針を持つ昆虫の一種。「ほう」は音読みで「はち」が正しい。
椿,つばき,常緑樹で冬から春に花を咲かせる。「ちん」は誤読で「つばき」が正しい。
藤,ふじ,紫色の花を咲かせるつる性の植物。「とう」は音読み。
楓,かえで,秋に紅葉する落葉樹。「ふう」は別種（フウ）の音読みで混同されやすい。
柊,ひいらぎ,葉に鋭いトゲを持つ常緑樹。「しゅう」は誤読で「ひいらぎ」が正しい。
檜,ひのき,日本の代表的な針葉樹で建材として有名。「かい」は誤読で「ひのき」が正しい。
樫,かし,硬い材木が取れる常緑広葉樹。「しゅう」は誤読で「かし」が正しい。
梅雨,つゆ,6月ごろに続く長雨の時期。「ばいう」は漢語読み、「つゆ」が日本語読み。
露,つゆ,朝に草などに付く水滴。「ろ」は音読み。「したたり落ちる」意味でも使われる。
霜,しも,気温が下がり地表に凍りついた水分。「そう」は音読みで「しも」が正しい。
嵐,あらし,激しい風雨のこと。「らん」は音読みで「あらし」が正しい。
凪,なぎ,風がやんで波が静まった状態。「てい」は誤読で「なぎ」が正しい。
漣,さざなみ,水面にそっと立つ細かい波。「れん」は音読みで「さざなみ」が正しい。
渦,うず,水や空気が回転する流れ。「か」は音読みで「うず」が正しい。
淀,よど,流れが止まって水が溜まること・地名にも使われる。「てん」は誤読で「よど」が正しい。
澱,おり,液体の底に沈んだ不純物・沈殿物。「でん」は音読みで「おり」が正しい。
巌,いわお,大きく険しい岩のこと。「がん」は音読みで「いわお」が正しい。
礫,つぶて,小石・石ころ。投げる石の意味もある。「れき」は音読み。
芥,あくた,ごみ・くず・価値のないものの意。「かい」は音読みで「あくた」が正しい。
塵,ちり,非常に細かいほこり・ごみ。「じん」は音読み。
藁,わら,稲などの穀物の茎を乾燥させたもの。「こう」は誤読で「わら」が正しい。
菰,こも,マコモや藁で編んだむしろ・茣蓙のこと。「か」は誤読で「こも」が正しい。
畝,うね,田畑に土を盛り上げて作る列状の部分。「ほ」は面積の単位としての読み。
鎌,かま,草や稲を刈り取る刃物。「れん」は誤読で「かま」が正しい。
鑿,のみ,木や石を彫る工具。「さく」は音読みで「のみ」が正しい。
錐,きり,穴をあける先のとがった工具。「すい」は音読みで「きり」が正しい。
箸,はし,食事に使う細長い棒状の道具。「ちょ」は音読みで「はし」が正しい。
匙,さじ,液体や粉末をすくう道具。「じ」は音読みで「さじ」が正しい。
暖簾,のれん,商店の入口に垂らす布製の仕切り。「だんれん」は誤読で「のれん」が正しい。
煙草,たばこ,葉を乾燥させて吸う嗜好品。「えんそう」は誤読で「たばこ」が正しい。
硫黄,いおう,黄色い非金属元素。「りゅうおう」は誤読で「いおう」が正しい。
雰囲,ふんい,ある場所全体に漂う気配・ムード（「雰囲気」の略ではない単語として）。
欠伸,あくび,眠いときや退屈なときに口を大きく開けて息を吐く動作。「けっしん」は誤読で「あくび」が正しい。
微塵,みじん,非常に細かい粒・ごくわずかのこと。「びじん（美人）」とは異なる語。
不貞腐れる,ふてくされる,不満や反抗心から投げやりな態度をとること。「ふていくされる」は誤読。
五月蝿い,うるさい,騒がしい・やかましいこと。当て字で「うるさい」と読む難読語。
可笑しい,おかしい,滑稽で笑えること、または不思議でおかしいこと。
一段落,いちだんらく,区切りがつくこと
他人事,ひとごと,自分に関係ないこと
月極,つきぎめ,月単位の契約
相応しい,ふさわしい,釣り合っている
相槌,あいづち,会話で打つ受け答え
貼紙,はりがみ,貼り付けた紙
訃報,ふほう,死亡の知らせ
凡庸,ぼんよう,平凡なこと
凡人,ぼんじん,普通の人
琴線,きんせん,感動を呼ぶ心の部分
脈絡,みゃくらく,つながり
既存,きそん,以前から存在すること
既出,きしゅつ,すでに出たもの
一応,いちおう,ひとまず
一括,いっかつ,まとめて扱うこと
受諾,じゅだく,受け入れること
快諾,かいだく,気持ちよく承諾すること
承諾,しょうだく,同意すること
委託,いたく,任せること
措置,そち,必要な処置
措辞,そじ,言葉遣い
頻繁,ひんぱん,たびたび起こること
頻出,ひんしゅつ,よく現れること
未曽有,みぞう,今までにないこと
凡退,ぼんたい,平凡なアウト
廉価,れんか,安価なこと
廉潔,れんけつ,清廉なこと
寸暇,すんか,わずかな空き時間
寸評,すんぴょう,短い評価
画一,かくいつ,一様にそろえること
画期的,かっきてき,非常に新しいこと
貼替,はりかえ,貼り替えること
輸出,ゆしゅつ,国外へ売ること
輸入,ゆにゅう,国外から買うこと
乳離れ,ちばなれ,母乳をやめること
強請る,ねだる,せがむこと
相俟って,あいまって,互いに作用して
相克,そうこく,対立すること
愛玩,あいがん,かわいがること
内包,ないほう,含み持つこと
外套,がいとう,コート
凡百,ぼんぴゃく,多くの平凡なもの
拝読,はいどく,読むことの謙譲語
拝見,はいけん,見ることの謙譲語
進言,しんげん,意見を述べること
具申,ぐしん,意見を申し出ること
直訴,じきそ,直接訴えること
進呈,しんてい,贈ること
寄贈,きぞう,贈り与えること
贈呈,ぞうてい,贈ること
返戻,へんれい,返却すること
示唆,しさ,それとなく示すこと
示談,じだん,話し合いによる解決
趣旨,しゅし,主な内容
趣向,しゅこう,工夫や趣味
鳥瞰,ちょうかん,全体を見渡すこと
俯瞰,ふかん,高所から見下ろすこと
概説,がいせつ,大まかな説明
概況,がいきょう,全体の様子
概算,がいさん,おおよその計算
汎用,はんよう,広く使えること
汎化,はんか,一般化すること
脅威,きょうい,おびやかす力
脅迫,きょうはく,脅して迫ること
埋没,まいぼつ,埋もれること
埋蔵,まいぞう,埋めて保存すること
履歴,りれき,過去の記録
履修,りしゅう,学習課程を修めること
重宝,ちょうほう,便利で役立つこと
音声,おんせい,声や音
発足,ほっそく,組織などが始まること
発起,ほっき,計画を起こすこと
発祥,はっしょう,物事の始まり
輪郭,りんかく,外形の線
輪廻,りんね,生まれ変わり
収拾,しゅうしゅう,まとめること
収奪,しゅうだつ,奪い取ること
閲覧,えつらん,見ること
閲歴,えつれき,経歴
偏重,へんちょう,一方に偏ること
偏見,へんけん,先入観
既婚,きこん,結婚していること
未婚,みこん,結婚していないこと
難色,なんしょく,気が進まない様子
難航,なんこう,順調に進まないこと
難儀,なんぎ,苦労すること
依怙地,いこじ,意地を張ること
強靭,きょうじん,強くしなやかなこと
脈々,みゃくみゃく,絶えず続くこと
漸増,ぜんぞう,少しずつ増えること
漸減,ぜんげん,少しずつ減ること
把握,はあく,しっかり理解すること
踏襲,とうしゅう,前例を受け継ぐこと
他愛ない,たあいない,とりとめがない
代替,だいたい,代わりにすること
続柄,つづきがら,親族関係
出生率,しゅっしょうりつ,生まれる割合
相殺,そうさい,差し引きすること
凡例,はんれい,説明の見本
依存心,いぞんしん,頼る気持ち
重複,ちょうふく,重なること
貼付,ちょうふ,貼り付けること
添付,てんぷ,付け加えること
早急,さっきゅう,急ぐこと
代弁,だいべん,代わりに話すこと
愛称,あいしょう,親しみのある呼び名
施行,しこう,実施すること
競売,けいばい,せり売り
応対,おうたい,応じること
応酬,おうしゅう,やり取り
凡例集,はんれいしゅう,凡例を集めたもの
受理,じゅり,受け付けること
受領,じゅりょう,受け取ること
異口同音,いくどうおん,皆が同じ意見
続投,ぞくとう,引き続き担当すること
間髪,かんはつ,わずかな時間
漸次,ぜんじ,順に少しずつ
漸進,ぜんしん,少しずつ進むこと
折衷,せっちゅう,双方を取り入れること
折檻,せっかん,厳しく叱ること
月並み,つきなみ,平凡なこと
発端,ほったん,物事の始まり
発祥地,はっしょうち,始まりの場所
言質,げんち,証拠になる言葉
素人,しろうと,専門家でない人
玄人,くろうと,専門家
相乗効果,そうじょうこうか,互いに高め合う効果
愛顧,あいこ,ひいきにすること
一蹴,いっしゅう,簡単に退けること
一矢,いっし,一本の矢
凡退王,ぼんたいおう,野球の記録
一喝,いっかつ,大声で叱ること
消耗,しょうもう,使い減らすこと
消却,しょうきゃく,帳簿から除くこと
凡ミス,ぼんみす,単純なミス
奇抜,きばつ,変わっていること
奇特,きとく,感心なこと
既得権,きとくけん,既に得た権利
既成事実,きせいじじつ,既に成立した事実
既知,きち,知っていること
概念,がいねん,物事の基本的な考え
概略,がいりゃく,大まかな内容
概論,がいろん,総論
脆弱,ぜいじゃく,もろいこと
脅かす,おびやかす,危険を与えること
脅える,おびえる,恐れること
執拗,しつよう,しつこいこと
執刀,しっとう,手術すること
執行,しっこう,実施すること
踏破,とうは,歩いて制覇すること
踏査,とうさ,現地調査
収監,しゅうかん,刑務所に入れること
収斂,しゅうれん,集まること
収穫,しゅうかく,取り入れ
進捗,しんちょく,進み具合
難渋,なんじゅう,苦労すること
難解,なんかい,理解しにくいこと
難読,なんどく,読みにくいこと
依然,いぜん,そのまま
依拠,いきょ,根拠とすること
依頼心,いらいしん,頼る気持ち
輪番,りんばん,順番に担当
輪唱,りんしょう,順に歌うこと
把持,はじ,しっかり持つこと
把握力,はあくりょく,理解する力
偏在,へんざい,偏って存在すること
偏屈,へんくつ,ひねくれていること
閲読,えつどく,読むこと
閲兵,えっぺい,軍隊の視察
趣味,しゅみ,好み
趣意書,しゅいしょ,目的説明文
鳥獣,ちょうじゅう,鳥と獣
俯仰,ふぎょう,見上げたり見下ろしたり
俯せる,うつぶせる,うつ伏せにする
脈拍,みゃくはく,脈の回数
脈診,みゃくしん,脈を見る診察
廉売,れんばい,安売り
廉恥,れんち,恥を知ること
措定,そてい,仮に定めること
措置法,そちほう,特別法
強硬,きょうこう,態度が厳しいこと
強弁,きょうべん,無理に言い張ること
強要,きょうよう,無理に求めること
一炊の夢,いっすいのゆめ,人生の栄華は儚いということ。
一瞥,いちべつ,ちらっと見ること。
一段落,いちだんらく,物事が一区切りつくこと。「ひとだんらく」は慣用読み。
一堂,いちどう,一つの建物や同じ場所に集まること。
右往左往,うおうさおう,混乱してあちこち動き回ること。
閏年,うるうどし,2月が29日ある年のこと。
会得,えとく,物事を理解して自分のものにすること。
回向,えこう,死者の成仏を願って仏事を行うこと。
回廊,かいろう,建物の周りを取り囲む屋根付きの廊下。
画策,かくさく,ひそかに計画を立てること。
拡散,かくさん,広がり散らばること。
楽観,らっかん,物事を良い方に考えること。
割愛,かつあい,惜しいと思いながらも省略すること。
間髪を入れず,かんはつをいれず,間に髪の毛1本も挟めないほど即座に。
危急,ききゅう,危険が差し迫っていること。
奇才,きさい,卓越した才能のこと。
希求,ききゅう,強く願い求めること。
詰問,きつもん,厳しく問い詰めること。
客体,きゃくたい,主観の認識の対象となるもの。
客分,かくぶん,組織の外から客として迎える立場。
逆転,ぎゃくてん,事の形勢が反対になること。
久遠,くおん,永遠のこと。
供奉,ぐぶ,行幸などに供として付き従うこと。
苦言,くげん,相手のためを思っていさめる言葉。
具眼,ぐがん,物事の真価を見抜く確かな眼力があること。
建立,こんりゅう,寺院や堂塔を建てること。
古文書,こもんじょ,古い時代の公文書や記録。
借用,しゃくよう,物を借りること。
主客,しゅかく,主人と客、または主なものと従属するもの。
遵守,じゅんしゅ,法律や規則に従い、それを守ること。
成就,じょうじゅ,願いや望みが叶うこと。
新進気鋭,しんしんきえい,ある分野に新しく登場し、勢いが盛んなこと。
親見,しんけん,自分の目で実際に確かめること。
進捗,しんちょく,物事が捗ること。「しんぽ」は別の漢字。
吹聴,ふいちょう,言いふらすこと。
推敲,すいこう,文章を何度も練り直すこと。
正気,しょうき,確かな意識。
正確,せいかく,間違いがないこと。
折半,せっぱん,二等分にすること。
洗礼,せんれい,キリスト教の入信儀式、または最初の試練。
相好,そうごう,表情や顔立ちのこと。
相応,そうおう,ふさわしいこと。
他人事,たにんごと,自分に関係のないこと。「ひとごと」が本来の読み。
大衆,たいしゅう,一般の民衆。
知悉,ちしつ,知り尽くすこと。
貼紙,はりがみ,壁などに貼る紙。「ちょうし」は誤読。
直訴,じきそ,手続きを踏まずに直接目上の人に訴えること。
追従,ついじゅう,他人の後に従うこと。「ついしょう」はへつらうこと。
定石,じょうせき,囲碁の決まった打ち方、または物事の定番の方法。
天下逸品,てんかいっぴん,世の中に並ぶものがないほど優れた品。
転変,てんぺん,移り変わること。
土壇場,どたんば,決断を迫られる最後の場面。
踏襲,とうしゅう,前人のやり方をそのまま受け継ぐこと。
読経,どきょう,お経を声に出して読むこと。
突風,とっぷう,急に激しく吹く風。
内裏,だいり,皇居、またはお雛様の男雛と女雛。
